District,Zone,Geographical Region,Development Region,On-budget Projects,Off-budget Projects,Total Projects,On-Budget Actual Disbursement 2011-12 (US$),Off-Budget Actual Disbursement 2011-12 (US$),Total Actual Disbursement 2011-12 (US$),Population,Per Capita Disbursement (US$)
Achham,Seti,Hill,Far-Western,13,37,50,"5,952,371","3,938,606","9,890,976","257,477",38
Arghakhanchi,Lumbini,Hill,Western,3,6,9,"847,031","533,295","1,380,326","197,632",7
Baglung,Dhawalagiri,Hill,Western,9,10,19,"3,340,109","911,570","4,251,679","268,613",16
Baitadi,Mahakali,Hill,Far-Western,12,19,31,"6,534,377","2,403,068","8,937,445","250,898",36
Bajhang,Seti,Mountain,Far-Western,12,23,35,"5,955,446","3,240,240","9,195,686","195,159",47
Bajura,Seti,Mountain,Far-Western,7,24,31,"1,681,023","2,330,048","4,011,070","134,912",30
Banke,Bheri,Terai,Mid-Western,6,30,36,"1,260,939","3,412,193","4,673,131","491,313",10
Bara,Narayani,Terai,Central,6,17,23,"968,239","535,125","1,503,364","687,708",2
Bardiya,Bheri,Terai,Mid-Western,7,32,39,"1,131,116","3,132,400","4,263,516","426,576",10
Bhaktapur,Bagmati,Hill,Central,7,13,20,"5,265,900","397,483","5,663,383","304,651",19
Bhojpur,Kosi,Hill,Eastern,4,13,17,"409,856","2,877,542","3,287,397","182,459",18
Chitawan,Narayani,Terai,Central,8,27,35,"2,213,376","2,441,343","4,654,720","579,984",8
Dadeldhura,Mahakali,Hill,Far-Western,10,23,33,"5,438,524","1,686,806","7,125,331","142,094",50
Dailekh,Bheri,Hill,Mid-Western,16,24,40,"10,649,430","4,493,081","15,142,510","261,770",58
Dang Deukhuri ,,,,12,29,41,"5,380,555","1,398,095","6,778,649","552,583",12
Darchaula,Mahakali,Mountain,Far-Western,9,10,19,"7,741,020","1,691,128","9,432,148","133,274",71
Dhading,Bagmati,Hill,Central,7,15,22,"1,677,842","1,786,642","3,464,484","336,067",10
Dhankuta,Kosi,Hill,Eastern,11,10,21,"2,994,816","961,596","3,956,412","163,412",24
Dhanusa,Janakpur,Terai,Central,7,18,25,"1,379,954","709,050","2,089,003","754,777",3
Dolakha,Janakpur,Mountain,Central,11,15,26,"3,259,078","782,856","4,041,935","186,557",22
Dolpa,Karnali,Mountain,Mid-Western,8,16,24,"1,826,189","2,547,879","4,374,069","36,700",119
Do��  ,,,,11,18,29,"2,383,075","4,159,286","6,542,361","211,746",31
Gorkha,Gandaki,Hill,Western,4,13,17,"835,243","1,149,601","1,984,843","271,061",7
Gulmi,Lumbini,Hill,Western,2,6,8,"736,695","323,904","1,060,598","280,160",4
Humla,Karnali,Mountain,Mid-Western,8,20,28,"2,142,595","2,765,447","4,908,042","50,858",97
Ilam,Mechi,Hill,Eastern,6,13,19,"1,807,269","1,113,540","2,920,809","290,254",10
Jajarkot,Bheri,Hill,Mid-Western,10,20,30,"3,234,540","2,476,149","5,710,688","171,304",33
Jhapa,Mechi,Terai,Eastern,9,22,31,"3,191,378","14,451,179","17,642,557","812,650",22
Jumla,Karnali,Mountain,Mid-Western,11,21,32,"2,796,414","2,426,714","5,223,128","108,921",48
Kailali,Seti,Terai,Far-Western,12,39,51,"3,783,423","3,480,641","7,264,064","775,709",9
Kalikot,Karnali,Mountain,Mid-Western,13,25,38,"6,241,984","2,744,943","8,986,926","136,948",66
Kanchanpur,Mahakali,Terai,Far-Western,7,26,33,"2,841,450","945,795","3,787,246","451,248",8
Kapilbastu,Lumbini,Terai,Western,10,29,39,"2,497,045","1,140,145","3,637,190","571,936",6
Kaski,Gandaki,Hill,Western,4,21,25,"1,775,570","765,801","2,541,371","492,098",5
Kathmandu,Bagmati,Hill,Central,11,31,42,"7,601,314","4,250,640","11,851,954","1,744,240",7
